;;;;Échelle chiffrée;;;Échelle lettrée;;;Criticité;Alerte;Vecteurs d’orientation;;;;;;;;;;;;;;;;;;;;Facteurs de rejet d’orientation;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Combustion;;;Recyclage;;;Réutilisation;;;;;;;Réemploi;;;;;;;Combustion;;;;;;;Recyclage;;;;;Réutilisation;;;Réemploi;;;;
Rang;Familles de critères;Critères;Valeurs;Note Fort;Note Moyen;Note Faible;Note Fort;Note Moyen;Note Faible;;;Termes;Score min;Score min;Termes;Score min;Score min;Termes;Score max;Score med;Score min;Score max;Score med;Score min;Termes;Score max;Score med;Score min;Score max;Score med;Score min;Termes;Score max;Score med;Score min;Score max;Score med;Score min;Termes;Score max;Score min;Score max;Score min;Termes;Score min;Score min;Termes;Score max;Score min;Score max;Score min
1;Dénaturation;Contamination;Mécanique;-10;1;3;E;C;A;Oui;Oui;Forte;-10;E;Aucun;-;-;Moyenne à faible;3;-;-3;A;-;D;Moyenne à faible;3;-;-3;A;-;D;Aucun;-;-;-;-;-;-;Forte;-;-10;-;E;Forte;-10;E;Forte;-;-10;-;E
2;Dégradation biologique;Expansion;Écologique;-10;-3;3;E;D;A;Oui;Oui;Forte;-10;E;Aucun;-;-;Moyenne à faible;3;-;-3;A;-;D;Moyenne à faible;3;-;-3;A;-;D;Aucun;-;-;-;-;-;-;Forte;-;-10;-;E;Forte;-10;E;Forte;-;-10;-;E
3;Dégradation biologique;Intégrité biologique;Mécanique;3;1;-10;A;C;E;Oui;Oui;Aucun;-;-;Aucun;-;-;Forte à moyenne;3;-;1;A;-;C;Forte;3;-;-;A;-;-;Aucun;-;-;-;-;-;-;Faible;-;-10;-;E;Aucun;-;-;Faible;-;-10;-;E
4;Dégradation mécanique;Intégrité mécanique;Mécanique;3;-3;-10;A;D;E;Oui;Oui;Aucun;-;-;Faible;-10;E;Forte à moyenne;3;-;-3;A;-;D;Forte à moyenne;3;-;-3;A;-;D;Forte à moyenne;3;-;1;A;-;C;Forte à moyenne;3;1;A;C;Faible;-10;E;Faible;-;-10;-;E
5;Traces;Altération;Mécanique;-10;1;3;D;C;A;Oui;Oui;Aucun;-;-;Forte;-10;E;Moyenne à faible;3;-;1;A;-;C;Moyenne à faible;3;-;-3;A;-;D;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Forte;-;-10;-;E
6;Dégradation biologique;Exposition biologique;Historique;-3;1;3;D;C;A;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;1;-3;A;C;D;Moyenne à faible;3;-;1;A;-;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Forte;-;-3;-;D
7;Dégradation biologique;Purge biologique;Économique;-3;1;3;D;C;A;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;1;-3;A;C;D;Faible;3;-;-;A;-;-;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Forte à moyenne;1;-3;C;D
8;Dégradation mécanique;Exposition mécanique;Historique;-3;1;3;D;C;A;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;1;-3;A;C;D;Moyenne à faible;3;-;1;A;-;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Forte;-;-3;-;D
9;Dégradation mécanique;Purge mécanique;Économique;-3;1;3;D;C;A;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;1;-3;A;C;D;Faible;3;-;-;A;-;-;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Forte à moyenne;1;-3;C;D
10;Usage;Humidité;Historique;-3;3;1;D;A;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte ou faible;1;-;-3;C;-;D;Moyenne;3;-;-;A;-;-;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Forte ou faible;1;-3;C;D
11;Dénaturation;Dépollution;Écologique;-3;1;3;D;C;A;Non;Non;Aucun;-;-;Aucun;-;-;Forte à faible;3;1;-3;A;C;D;Moyenne à faible;3;-;1;A;-;C;Aucun;-;-;-;-;-;-;Forte à moyenne;3;1;A;C;Aucun;-;-;Forte;-;-3;-;D
12;Ancienneté;Vieillissement;Mécanique;-3;1;3;D;C;A;Non;Oui;Aucun;-;-;Aucun;-;-;Fort à faible;3;1;-3;A;C;D;Fort à faible;3;1;-3;A;C;D;Fort à faible;3;1;-3;A;C;D;Fort;-;-3;-;D;Aucun;-;-;Aucun;-;-;-;-
13;Ancienneté;Amortissement;Écologique;3;1;-3;A;C;D;Non;Oui;Aucun;-;-;Aucun;-;-;Fort à faible;3;1;-3;A;C;D;Fort à faible;3;1;-3;A;C;D;Moyen à faible;1;-;-3;C;-;D;Moyen à faible;1;-3;C;D;Aucun;-;-;Aucun;-;-;-;-
14;Dénaturation;Durabilité conférée;Historique;1;2;3;C;B;A;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Forte;-;1;-;C;Aucun;-;-;Aucun;-;-;-;-
15;Géométrie;Déformation;Historique;-3;1;3;D;C;A;Non;Non;Aucun;-;-;Aucun;-;-;Forte à moyenne;1;-;-3;C;-;D;Faible;3;-;-;A;-;-;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Forte;-;-3;-;D
16;Ancienneté;Démontabilité;Esthétique;3;2;-3;A;B;D;Non;Non;Aucun;-;-;Aucun;-;-;Forte à moyenne;3;-;2;A;-;B;Forte à moyenne;3;-;2;A;-;B;Fort à faible;3;2;-3;A;B;D;Forte à moyenne;3;2;A;B;Aucun;-;-;Faible;-;-3;-;D
17;Traces;Documentation;Historique;3;1;-3;A;C;D;Non;Non;Aucun;-;-;Aucun;-;-;Forte à faible;3;1;-3;A;C;D;Forte à faible;3;1;-3;A;C;D;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
18;Provenance;Transport;Écologique;-3;1;3;D;C;A;Non;Non;Aucun;-;-;Aucun;-;-;Fort à faible;3;1;-3;A;C;D;Faible;3;-;-;A;-;-;Fort ou Faible;3;-;-3;A;-;D;Fort ;-;-3;-;D;Aucun;-;-;Aucun;-;-;-;-
19;Dégradation mécanique;Feu;Écologique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte;3;-;-;A;-;-;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Faible;-;1;-;C
20;Usage;Durabilité naturelle;Écologique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à moyenne;3;-;2;A;-;B;Fort à moyenne;3;-;2;A;-;B;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
21;Usage;Classement estimé;Mécanique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Fort à faible;3;2;1;A;B;C;Fort à moyenne;3;-;2;A;-;B;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Faible;-;1;-;C
22;Usage;Aspect;Esthétique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Fort à faible;3;2;1;A;B;C;Fort à moyenne;3;-;2;A;-;B;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Faible;-;1;-;C
23;Dénaturation;Naturalité;Esthétique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à moyenne;3;-;2;A;-;B;Forte à moyenne;3;-;2;A;-;B;Aucun;-;-;-;-;-;-;Faible;-;1;-;C;Aucun;-;-;Aucun;-;-;-;-
24;Débit;Régularité;Écologique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à moyenne;3;-;2;A;-;B;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
25;Débit;Volumétrie;Mécanique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à moyenne;3;-;2;A;-;B;Forte;3;-;-;A;-;-;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
26;Débit;Artisanalité;Esthétique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
27;Débit;Rusticité;Esthétique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
28;Géométrie;Adaptabilité;Écologique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à moyenne;3;-;2;A;-;B;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Faible;-;1;-;C
29;Géométrie;Massivité;Mécanique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte;3;-;-;A;-;-;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
30;Géométrie;Industrialité;Esthétique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
31;Géométrie;Inclusivité;Esthétique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à moyenne;3;-;2;A;-;B;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Faible;-;1;-;C
32;Essence;Rareté écologique;Écologique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
33;Essence;Masse volumique;Mécanique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
34;Essence;Rareté historique;Historique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
35;Essence;Singularité essence;Esthétique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
36;Ancienneté;Micro-histoire;Historique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Forte à moyenne;3;-;2;A;-;C;Forte à moyenne;3;2;A;B;Aucun;-;-;Aucun;-;-;-;-
37;Traces;Étiquetage;Écologique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Fort à faible;3;2;1;A;B;C;Fort à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
38;Traces;Singularités traces;Esthétique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
39;Provenance;Réputation;Mécanique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
40;Provenance;Macro-histoire;Historique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
41;Provenance;Territorialité;Esthétique;3;2;1;A;B;C;Non;Non;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à faible;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
42;Débit;Stabilité;Historique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;2;1;A;B;C;Forte à moyenne;3;-;2;A;-;B;Aucun;-;-;-;-;-;-;Forte à moyenne;3;2;A;B;Aucun;-;-;Faible;-;1;-;C
43;Dégradation biologique;Confiance;Économique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Aucun;3;2;1;A;B;C;Aucun;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
44;Dégradation mécanique;Confiance;Économique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Aucun;3;2;1;A;B;C;Aucun;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
45;Dénaturation;Confiance;Économique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Aucun;3;2;1;A;B;C;Aucun;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
46;Essence;Confiance;Économique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Aucun;3;2;1;A;B;C;Aucun;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
47;Usage;Confiance;Économique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Aucun;3;2;1;A;B;C;Aucun;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
48;Ancienneté;Confiance;Économique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Aucun;3;2;1;A;B;C;Aucun;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
49;Provenance;Confiance;Économique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Aucun;3;2;1;A;B;C;Aucun;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
50;Traces;Confiance;Économique;3;2;1;A;B;C;Non;Oui;Aucun;-;-;Aucun;-;-;Aucun;3;2;1;A;B;C;Aucun;3;2;1;A;B;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Aucun;-;-;-;-
;;;;;;;;;;;;;-50;;;-20;;;122;53;-10;;;;;126;31;29;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;-76;;;-37;;;;;-42;;;;;;;-21;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;quantité de points max;quantité de note max;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;3;A;123;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2;B;52;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1;C;39;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;-3;D;-42;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;-10;E;-50;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Note minimale nette;-51;hors « confiance »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Note maximale nette;126;hors « confiance »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
